true_Nc,target_fis,n_sample_prop,n_loci,num_N_hypothesized,N_try_max_factor,replicate,method,num_N_hypothesized,N_try_max_factor,N_est
150,0.001,0.2,1000,51,6,16,betabin,51,6,24
150,0.001,0.2,1000,51,6,16,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,17,wasserstein,51,6,25.3718592964824
150,0.001,0.2,1000,51,6,17,bhd,51,6,30.4673366834171
150,0.001,0.2,1000,51,6,17,betabin,51,6,24
150,0.001,0.2,1000,51,6,17,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,18,wasserstein,51,6,25.68
150,0.001,0.2,1000,51,6,18,bhd,51,6,30
150,0.001,0.2,1000,51,6,18,betabin,51,6,24
150,0.001,0.2,1000,51,6,18,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,19,wasserstein,51,6,25.785
150,0.001,0.2,1000,51,6,19,bhd,51,6,31.875
150,0.001,0.2,1000,51,6,19,betabin,51,6,24
150,0.001,0.2,1000,51,6,19,betabin_dynamic,51,6,NA
150,0.001,0.2,1000,51,6,20,wasserstein,51,6,25.605
150,0.001,0.2,1000,51,6,20,bhd,51,6,29.775
150,0.001,0.2,1000,51,6,20,betabin,51,6,24
150,0.001,0.2,1000,51,6,20,betabin_dynamic,51,6,NA
150,0.001,0.2,5000,15,3,1,wasserstein,15,3,25.7457457457457
150,0.001,0.2,5000,15,3,1,bhd,15,3,31.8268268268268
150,0.001,0.2,5000,15,3,1,betabin,15,3,24
150,0.001,0.2,5000,15,3,1,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,2,wasserstein,15,3,26.054
150,0.001,0.2,5000,15,3,2,bhd,15,3,32.137
150,0.001,0.2,5000,15,3,2,betabin,15,3,24
150,0.001,0.2,5000,15,3,2,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,3,wasserstein,15,3,25.919
150,0.001,0.2,5000,15,3,3,bhd,15,3,31.798
150,0.001,0.2,5000,15,3,3,betabin,15,3,24
150,0.001,0.2,5000,15,3,3,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,4,wasserstein,15,3,25.97
150,0.001,0.2,5000,15,3,4,bhd,15,3,32.406
150,0.001,0.2,5000,15,3,4,betabin,15,3,24
150,0.001,0.2,5000,15,3,4,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,5,wasserstein,15,3,25.844
150,0.001,0.2,5000,15,3,5,bhd,15,3,32.063
150,0.001,0.2,5000,15,3,5,betabin,15,3,24
150,0.001,0.2,5000,15,3,5,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,6,wasserstein,15,3,25.8838838838839
150,0.001,0.2,5000,15,3,6,bhd,15,3,32.025025025025
150,0.001,0.2,5000,15,3,6,betabin,15,3,24
150,0.001,0.2,5000,15,3,6,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,7,wasserstein,15,3,25.78
150,0.001,0.2,5000,15,3,7,bhd,15,3,32.708
150,0.001,0.2,5000,15,3,7,betabin,15,3,24
150,0.001,0.2,5000,15,3,7,betabin_dynamic,15,3,NA
150,0.001,0.2,5000,15,3,8,wasserstein,15,3,25.863
150,0.001,0.2,5000,15,3,8,bhd,15,3,31.636
150,0.001,0.2,5000,15,3,8,betabin,15,3,24
150,0.001,0.2,5000,15,3,8,betabin_dynamic,15,3,NA
