"true_Nc","sample_prop","n_sample","AFS","replicate","method","num_N_hypothesized","N_try_max_factor","N_est","bias"
100,0.3,30,"beta_L_shaped",16,"sherwin",15,6,34.0434782608696,-0.659565217391304
100,0.3,30,"beta_L_shaped",16,"nll",15,6,34.0434782608696,-0.659565217391304
100,0.3,30,"beta_L_shaped",17,"wasserstein",15,6,28.4,-0.716
100,0.3,30,"beta_L_shaped",17,"bhd",15,6,52.4888888888889,-0.475111111111111
100,0.3,30,"beta_L_shaped",17,"sherwin",15,6,34.5333333333333,-0.654666666666667
100,0.3,30,"beta_L_shaped",17,"nll",15,6,35.0222222222222,-0.649777777777778
100,0.3,30,"beta_L_shaped",18,"wasserstein",15,6,30.6,-0.694
100,0.3,30,"beta_L_shaped",18,"bhd",15,6,60.2888888888889,-0.397111111111111
100,0.3,30,"beta_L_shaped",18,"sherwin",15,6,33.0444444444444,-0.669555555555555
100,0.3,30,"beta_L_shaped",18,"nll",15,6,33.0444444444444,-0.669555555555555
100,0.3,30,"beta_L_shaped",19,"wasserstein",15,6,29.2608695652174,-0.707391304347826
100,0.3,30,"beta_L_shaped",19,"bhd",15,6,56.5217391304348,-0.434782608695652
100,0.3,30,"beta_L_shaped",19,"sherwin",15,6,33.0869565217391,-0.669130434782609
100,0.3,30,"beta_L_shaped",19,"nll",15,6,34.0652173913044,-0.659347826086957
100,0.3,30,"beta_L_shaped",20,"wasserstein",15,6,29.1333333333333,-0.708666666666667
100,0.3,30,"beta_L_shaped",20,"bhd",15,6,53.8,-0.462
100,0.3,30,"beta_L_shaped",20,"sherwin",15,6,30.6,-0.694
100,0.3,30,"beta_L_shaped",20,"nll",15,6,30.6,-0.694
100,0.3,30,"beta_L_shaped",21,"wasserstein",15,6,31.6521739130435,-0.683478260869565
100,0.3,30,"beta_L_shaped",21,"bhd",15,6,64.3913043478261,-0.356086956521739
100,0.3,30,"beta_L_shaped",21,"sherwin",15,6,35,-0.65
100,0.3,30,"beta_L_shaped",21,"nll",15,6,35,-0.65
100,0.3,30,"beta_L_shaped",22,"wasserstein",15,6,31.6521739130435,-0.683478260869565
100,0.3,30,"beta_L_shaped",22,"bhd",15,6,62.9565217391304,-0.370434782608696
100,0.3,30,"beta_L_shaped",22,"sherwin",15,6,32.6086956521739,-0.673913043478261
100,0.3,30,"beta_L_shaped",22,"nll",15,6,32.6086956521739,-0.673913043478261
100,0.3,30,"beta_L_shaped",23,"wasserstein",15,6,30.6,-0.694
100,0.3,30,"beta_L_shaped",23,"bhd",15,6,59.5555555555556,-0.404444444444444
100,0.3,30,"beta_L_shaped",23,"sherwin",15,6,31.5777777777778,-0.684222222222222
100,0.3,30,"beta_L_shaped",23,"nll",15,6,34.5777777777778,-0.654222222222222
100,0.3,30,"beta_L_shaped",24,"wasserstein",15,6,30.695652173913,-0.69304347826087
100,0.3,30,"beta_L_shaped",24,"bhd",15,6,61.4347826086956,-0.385652173913044
100,0.3,30,"beta_L_shaped",24,"sherwin",15,6,32.6086956521739,-0.673913043478261
100,0.3,30,"beta_L_shaped",24,"nll",15,6,32.6086956521739,-0.673913043478261
100,0.3,30,"beta_L_shaped",25,"wasserstein",15,6,31.6521739130435,-0.683478260869565
100,0.3,30,"beta_L_shaped",25,"bhd",15,6,62.9565217391304,-0.370434782608696
100,0.3,30,"beta_L_shaped",25,"sherwin",15,6,33.5652173913044,-0.664347826086957
100,0.3,30,"beta_L_shaped",25,"nll",15,6,33.5652173913044,-0.664347826086957
100,0.3,30,"beta_L_shaped",1,"wasserstein",51,3,26.1739130434783,-0.738260869565217
100,0.3,30,"beta_L_shaped",1,"bhd",51,3,58,-0.42
100,0.3,30,"beta_L_shaped",1,"sherwin",51,3,26.1739130434783,-0.738260869565217
100,0.3,30,"beta_L_shaped",1,"nll",51,3,26.1739130434783,-0.738260869565217
100,0.3,30,"beta_L_shaped",2,"wasserstein",51,3,26.6888888888889,-0.733111111111111
100,0.3,30,"beta_L_shaped",2,"bhd",51,3,61.7111111111111,-0.382888888888889
100,0.3,30,"beta_L_shaped",2,"sherwin",51,3,26.6888888888889,-0.733111111111111
100,0.3,30,"beta_L_shaped",2,"nll",51,3,26.6888888888889,-0.733111111111111
100,0.3,30,"beta_L_shaped",3,"wasserstein",51,3,26.3777777777778,-0.736222222222222
100,0.3,30,"beta_L_shaped",3,"bhd",51,3,65.9333333333333,-0.340666666666667
100,0.3,30,"beta_L_shaped",3,"sherwin",51,3,26.3777777777778,-0.736222222222222
100,0.3,30,"beta_L_shaped",3,"nll",51,3,26.3777777777778,-0.736222222222222
100,0.3,30,"beta_L_shaped",4,"wasserstein",51,3,26.5217391304348,-0.734782608695652
100,0.3,30,"beta_L_shaped",4,"bhd",51,3,54.5652173913044,-0.454347826086957
100,0.3,30,"beta_L_shaped",4,"sherwin",51,3,26.5217391304348,-0.734782608695652
100,0.3,30,"beta_L_shaped",4,"nll",51,3,26.5217391304348,-0.734782608695652
100,0.3,30,"beta_L_shaped",5,"wasserstein",51,3,26.3617021276596,-0.736382978723404
100,0.3,30,"beta_L_shaped",5,"bhd",51,3,63,-0.37
100,0.3,30,"beta_L_shaped",5,"sherwin",51,3,26.3617021276596,-0.736382978723404
100,0.3,30,"beta_L_shaped",5,"nll",51,3,26.3617021276596,-0.736382978723404
100,0.3,30,"beta_L_shaped",6,"wasserstein",51,3,26.7333333333333,-0.732666666666667
100,0.3,30,"beta_L_shaped",6,"bhd",51,3,57.5777777777778,-0.424222222222222
100,0.3,30,"beta_L_shaped",6,"sherwin",51,3,26.7333333333333,-0.732666666666667
100,0.3,30,"beta_L_shaped",6,"nll",51,3,26.7333333333333,-0.732666666666667
100,0.3,30,"beta_L_shaped",7,"wasserstein",51,3,26.4347826086957,-0.735652173913043
100,0.3,30,"beta_L_shaped",7,"bhd",51,3,51.7391304347826,-0.482608695652174
100,0.3,30,"beta_L_shaped",7,"sherwin",51,3,26.4347826086957,-0.735652173913043
100,0.3,30,"beta_L_shaped",7,"nll",51,3,26.4347826086957,-0.735652173913043
100,0.3,30,"beta_L_shaped",8,"wasserstein",51,3,25.695652173913,-0.74304347826087
100,0.3,30,"beta_L_shaped",8,"bhd",51,3,49.7826086956522,-0.502173913043478
100,0.3,30,"beta_L_shaped",8,"sherwin",51,3,25.695652173913,-0.74304347826087
100,0.3,30,"beta_L_shaped",8,"nll",51,3,25.695652173913,-0.74304347826087
100,0.3,30,"beta_L_shaped",9,"wasserstein",51,3,26.8260869565217,-0.731739130434783
100,0.3,30,"beta_L_shaped",9,"bhd",51,3,57.1739130434783,-0.428260869565217
100,0.3,30,"beta_L_shaped",9,"sherwin",51,3,26.8260869565217,-0.731739130434783
100,0.3,30,"beta_L_shaped",9,"nll",51,3,26.8260869565217,-0.731739130434783
100,0.3,30,"beta_L_shaped",10,"wasserstein",51,3,25.9130434782609,-0.740869565217391
100,0.3,30,"beta_L_shaped",10,"bhd",51,3,62.6304347826087,-0.373695652173913
100,0.3,30,"beta_L_shaped",10,"sherwin",51,3,26.804347826087,-0.73195652173913
100,0.3,30,"beta_L_shaped",10,"nll",51,3,31.5869565217391,-0.684130434782609
100,0.3,30,"beta_L_shaped",11,"wasserstein",51,3,26.7272727272727,-0.732727272727273
100,0.3,30,"beta_L_shaped",11,"bhd",51,3,56.2727272727273,-0.437272727272727
100,0.3,30,"beta_L_shaped",11,"sherwin",51,3,26.7272727272727,-0.732727272727273
100,0.3,30,"beta_L_shaped",11,"nll",51,3,26.7272727272727,-0.732727272727273
100,0.3,30,"beta_L_shaped",12,"wasserstein",51,3,26.3829787234043,-0.736170212765958
100,0.3,30,"beta_L_shaped",12,"bhd",51,3,64.5744680851064,-0.354255319148936
100,0.3,30,"beta_L_shaped",12,"sherwin",51,3,26.3829787234043,-0.736170212765958
100,0.3,30,"beta_L_shaped",12,"nll",51,3,26.3829787234043,-0.736170212765958
