"true_Nc","target_fis","n_sample_prop","n_loci","method","num_N_hypothesized","N_try_max_factor","mean_bias","median_bias","rmse","cv"
150,0.05,0.2,5000,"wasserstein",51,6,-0.829083865532199,-0.829119119119119,124.36260123675,0.00292012098573222
150,0.05,0.3,1000,"betabin",15,3,-0.76,-0.76,114,0
150,0.05,0.3,1000,"betabin",15,6,-0.76,-0.76,114,0
150,0.05,0.3,1000,"betabin",51,3,-0.76,-0.76,114,0
150,0.05,0.3,1000,"betabin",51,6,-0.76,-0.76,114,0
150,0.05,0.3,1000,"betabin_dynamic",15,3,-0.1,-0.1,15,0
150,0.05,0.3,1000,"betabin_dynamic",15,6,0.8,0.8,120,0
150,0.05,0.3,1000,"betabin_dynamic",51,3,-0.1,-0.1,15,0
150,0.05,0.3,1000,"betabin_dynamic",51,6,0.8,0.8,120,0
150,0.05,0.3,1000,"bhd",15,3,-0.68157,-0.681516666666667,102.237957212573,0.0152255432029063
150,0.05,0.3,1000,"bhd",15,6,-0.636173333333333,-0.63645,95.4269833039901,0.00814415045122332
150,0.05,0.3,1000,"bhd",51,3,-0.715528333333333,-0.71495,107.33030595433,0.0114473668834759
150,0.05,0.3,1000,"bhd",51,6,-0.694796666666667,-0.694316666666667,104.221590229664,0.0147926621058905
150,0.05,0.3,1000,"wasserstein",15,3,-0.728546666666667,-0.72815,109.283685676317,0.015294308348403
150,0.05,0.3,1000,"wasserstein",15,6,-0.729011666666667,-0.728666666666667,109.353383206694,0.0150850379894196
150,0.05,0.3,1000,"wasserstein",51,3,-0.739513333333333,-0.739233333333333,110.927151590582,0.00481538849175477
150,0.05,0.3,1000,"wasserstein",51,6,-0.727301666666667,-0.726616666666667,109.095610721743,0.00703669767808424
150,0.05,0.3,5000,"betabin",15,3,-0.76,-0.76,114,0
150,0.05,0.3,5000,"betabin",15,6,-0.76,-0.76,114,0
150,0.05,0.3,5000,"betabin",51,3,-0.76,-0.76,114,0
150,0.05,0.3,5000,"betabin",51,6,-0.76,-0.76,114,0
150,0.05,0.3,5000,"betabin_dynamic",15,3,-0.1,-0.1,15,0
150,0.05,0.3,5000,"betabin_dynamic",15,6,0.799894333333333,0.8,119.984160848214,0.000193890258809699
150,0.05,0.3,5000,"betabin_dynamic",51,3,-0.100029666666667,-0.1,15.0044625378585,0.000147419711240465
150,0.05,0.3,5000,"betabin_dynamic",51,6,0.799940666666667,0.8,119.991103121023,0.000103998424171599
150,0.05,0.3,5000,"bhd",15,3,-0.683164333333333,-0.6834,102.475066175387,0.00630484958748883
150,0.05,0.3,5000,"bhd",15,6,-0.636116849516183,-0.635923333333333,95.4176992213013,0.00340344001847873
150,0.05,0.3,5000,"bhd",51,3,-0.715709,-0.716336666666667,107.356583638126,0.00538870969246149
150,0.05,0.3,5000,"bhd",51,6,-0.695761,-0.695726666666667,104.364448824061,0.00561475504218084
150,0.05,0.3,5000,"wasserstein",15,3,-0.730191666666667,-0.729993333333333,109.528947757431,0.00527639432042644
150,0.05,0.3,5000,"wasserstein",15,6,-0.729239175842509,-0.729403333333333,109.386278683913,0.0074943887585217
150,0.05,0.3,5000,"wasserstein",51,3,-0.738956333333333,-0.738773333333333,110.843472748963,0.00186073536770172
150,0.05,0.3,5000,"wasserstein",51,6,-0.726174666666667,-0.72631,108.926442314986,0.0057391141950879
150,0.05,0.5,1000,"betabin",15,3,-0.6,-0.6,90,0
150,0.05,0.5,1000,"betabin",15,6,-0.6,-0.6,90,0
150,0.05,0.5,1000,"betabin",51,3,-0.6,-0.6,90,0
150,0.05,0.5,1000,"betabin",51,6,-0.6,-0.6,90,0
150,0.05,0.5,1000,"betabin_dynamic",15,3,0.5,0.5,75,0
150,0.05,0.5,1000,"betabin_dynamic",15,6,2,2,300,0
150,0.05,0.5,1000,"betabin_dynamic",51,3,0.5,0.5,75,0
150,0.05,0.5,1000,"betabin_dynamic",51,6,2,2,300,0
150,0.05,0.5,1000,"bhd",15,3,-0.457103333333333,-0.45745,68.5763622905152,0.0153771372752589
150,0.05,0.5,1000,"bhd",15,6,-0.364491666666667,-0.364966666666667,54.696081772372,0.0168203898296967
150,0.05,0.5,1000,"bhd",51,3,-0.505208333333333,-0.505916666666667,75.7863847188266,0.0121951215081655
150,0.05,0.5,1000,"bhd",51,6,-0.473313333333333,-0.477516666666667,71.0324146428938,0.0291256211546818
150,0.05,0.5,1000,"wasserstein",15,3,-0.545473333333333,-0.5464,81.8267280752445,0.0145695761482218
150,0.05,0.5,1000,"wasserstein",15,6,-0.557068333333333,-0.5566,83.5677736406206,0.017316051459405
150,0.05,0.5,1000,"wasserstein",51,3,-0.561275,-0.562266666666667,84.1930653839733,0.0086196498061679
150,0.05,0.5,1000,"wasserstein",51,6,-0.544088333333333,-0.546816666666667,81.6267482431464,0.0222698938330386
150,0.05,0.5,5000,"betabin",15,3,-0.6,-0.6,90,0
150,0.05,0.5,5000,"betabin",15,6,-0.6,-0.6,90,0
150,0.05,0.5,5000,"betabin",51,3,-0.6,-0.6,90,0
150,0.05,0.5,5000,"betabin",51,6,-0.6,-0.6,90,0
150,0.05,0.5,5000,"betabin_dynamic",15,3,0.5,0.5,75,0
150,0.05,0.5,5000,"betabin_dynamic",15,6,2,2,300,0
150,0.05,0.5,5000,"betabin_dynamic",51,3,0.5,0.5,75,0
150,0.05,0.5,5000,"betabin_dynamic",51,6,2,2,300,0
150,0.05,0.5,5000,"bhd",15,3,-0.459798333333333,-0.46054,68.9713074158378,0.00586867537683701
150,0.05,0.5,5000,"bhd",15,6,-0.363798,-0.36439,54.5739540513604,0.00732575714796521
150,0.05,0.5,5000,"bhd",51,3,-0.507477,-0.50874,76.123007174244,0.00654104373587807
150,0.05,0.5,5000,"bhd",51,6,-0.474325333333333,-0.473533333333333,71.1535934538798,0.010746332386627
150,0.05,0.5,5000,"wasserstein",15,3,-0.549316,-0.549573333333333,82.3978542275222,0.00415225360695544
150,0.05,0.5,5000,"wasserstein",15,6,-0.557899666666667,-0.55763,83.686065547079,0.00668513486781557
150,0.05,0.5,5000,"wasserstein",51,3,-0.561297333333333,-0.560666666666667,84.1950152764402,0.00412290153492188
