"true_Nc","sample_prop","AFS","N_est"
1000,0.1,"uniform",89.46
1000,0.1,"uniform",90.84
1000,0.1,"uniform",90.13
1000,0.1,"uniform",89.87
1000,0.1,"uniform",90.32
1000,0.1,"uniform",89.3
1000,0.1,"uniform",91.43
1000,0.1,"uniform",91.16
1000,0.1,"uniform",88.65
1000,0.1,"uniform",89.54
2000,0.1,"uniform",190.06
2000,0.1,"uniform",191.42
2000,0.1,"uniform",188.64
2000,0.1,"uniform",186.19
2000,0.1,"uniform",191.64
2000,0.1,"uniform",190.23
2000,0.1,"uniform",193.34
2000,0.1,"uniform",185.29
2000,0.1,"uniform",188.74
2000,0.1,"uniform",196.68
2000,0.1,"uniform",192.54
2000,0.1,"uniform",185.05
2000,0.1,"uniform",187.9
2000,0.1,"uniform",187.14
2000,0.1,"uniform",180.22
2000,0.1,"uniform",185.63
2000,0.1,"uniform",185.2
2000,0.1,"uniform",192.45
2000,0.1,"uniform",191.3
2000,0.1,"uniform",187.98
2000,0.1,"uniform",187.91
2000,0.1,"uniform",196.85
2000,0.1,"uniform",185.57
2000,0.1,"uniform",193.06
2000,0.1,"uniform",187.56
2000,0.1,"uniform",188.75
2000,0.1,"uniform",187.46
2000,0.1,"uniform",184.85
2000,0.1,"uniform",188.08
2000,0.1,"uniform",179.5
2000,0.1,"uniform",189.55
2000,0.1,"uniform",191.76
2000,0.1,"uniform",186.16
2000,0.1,"uniform",180.12
2000,0.1,"uniform",190.44
2000,0.1,"uniform",185.11
2000,0.1,"uniform",185.99
2000,0.1,"uniform",188.35
2000,0.1,"uniform",185.73
2000,0.1,"uniform",187.79
2000,0.1,"uniform",194.25
2000,0.1,"uniform",189.03
2000,0.1,"uniform",181.24
2000,0.1,"uniform",184.7
2000,0.1,"uniform",187.85
2000,0.1,"uniform",188.95
2000,0.1,"uniform",193.81
2000,0.1,"uniform",182.03
2000,0.1,"uniform",184.91
2000,0.1,"uniform",188.22
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
50,0.2,"uniform",8
100,0.2,"uniform",18.1616161616162
100,0.2,"uniform",18.6464646464646
100,0.2,"uniform",18.1010101010101
100,0.2,"uniform",18.58
100,0.2,"uniform",19.6565656565657
100,0.2,"uniform",17.9494949494949
100,0.2,"uniform",19.8484848484849
100,0.2,"uniform",19.0606060606061
100,0.2,"uniform",17.1212121212121
100,0.2,"uniform",18.9591836734694
100,0.2,"uniform",19.030303030303
100,0.2,"uniform",18.3535353535354
100,0.2,"uniform",18.3939393939394
100,0.2,"uniform",18.4242424242424
100,0.2,"uniform",18.7979797979798
100,0.2,"uniform",18.3939393939394
100,0.2,"uniform",18.030303030303
100,0.2,"uniform",18.5757575757576
100,0.2,"uniform",19.2222222222222
100,0.2,"uniform",19.7070707070707
100,0.2,"uniform",17.9393939393939
100,0.2,"uniform",18.63
100,0.2,"uniform",18.1313131313131
100,0.2,"uniform",17.9387755102041
100,0.2,"uniform",18.55
100,0.2,"uniform",18.5353535353535
100,0.2,"uniform",17.989898989899
100,0.2,"uniform",18.0707070707071
100,0.2,"uniform",17.989898989899
100,0.2,"uniform",18.010101010101
100,0.2,"uniform",19.030303030303
100,0.2,"uniform",18.7171717171717
100,0.2,"uniform",17.3636363636364
100,0.2,"uniform",18.1919191919192
100,0.2,"uniform",18.5408163265306
100,0.2,"uniform",19.1010101010101
100,0.2,"uniform",17.66
100,0.2,"uniform",18.5656565656566
100,0.2,"uniform",18.2142857142857
100,0.2,"uniform",18.2828282828283
100,0.2,"uniform",18
100,0.2,"uniform",18.5555555555556
100,0.2,"uniform",19.3838383838384
100,0.2,"uniform",17.9191919191919
100,0.2,"uniform",18.4747474747475
100,0.2,"uniform",19.4949494949495
100,0.2,"uniform",18.6868686868687
100,0.2,"uniform",18.2727272727273
100,0.2,"uniform",18.4343434343434
100,0.2,"uniform",19.2323232323232
250,0.2,"uniform",45.13
250,0.2,"uniform",45.47
250,0.2,"uniform",45.75
250,0.2,"uniform",45.85
250,0.2,"uniform",45.15
250,0.2,"uniform",45.8
250,0.2,"uniform",45.91
250,0.2,"uniform",45.49
250,0.2,"uniform",44.96
250,0.2,"uniform",47.15
250,0.2,"uniform",46.85
250,0.2,"uniform",46.84
250,0.2,"uniform",44.949494949495
250,0.2,"uniform",44.59
250,0.2,"uniform",46.23
250,0.2,"uniform",44.98
250,0.2,"uniform",45.76
250,0.2,"uniform",46.58
250,0.2,"uniform",45.78
250,0.2,"uniform",46.57
250,0.2,"uniform",45.04
250,0.2,"uniform",45.54
250,0.2,"uniform",47.85
250,0.2,"uniform",46.36
250,0.2,"uniform",45.7
250,0.2,"uniform",46.39
250,0.2,"uniform",45.28
250,0.2,"uniform",43.97
250,0.2,"uniform",46.7777777777778
250,0.2,"uniform",44.88
250,0.2,"uniform",46.19
250,0.2,"uniform",46.04
250,0.2,"uniform",46.13
250,0.2,"uniform",45.25
250,0.2,"uniform",46.98
250,0.2,"uniform",46.72
250,0.2,"uniform",45.05
250,0.2,"uniform",45.3232323232323
250,0.2,"uniform",45.68
250,0.2,"uniform",45.54
250,0.2,"uniform",46.6
250,0.2,"uniform",45.52
250,0.2,"uniform",46.85
250,0.2,"uniform",45.62
250,0.2,"uniform",46.17
250,0.2,"uniform",45.28
250,0.2,"uniform",45.26
250,0.2,"uniform",47.03
